timestamp,time_since_start,round_id,data_id,accuracy
2025-11-08 12:07:30,25.201,0,0,26.263157894736842
2025-11-08 12:09:03,118.201,0,1,28.447368421052634
2025-11-08 12:10:06,181.201,0,2,26.092105263157894
2025-11-08 12:11:48,283.201,0,3,25.82894736842105
2025-11-08 12:13:13,368.201,0,4,25.026315789473685
2025-11-08 12:14:16,431.201,0,5,25.25
2025-11-08 12:15:15,490.201,0,6,25.026315789473685
2025-11-08 12:15:53,528.201,0,7,24.855263157894736
2025-11-08 12:16:42,577.201,0,8,25.039473684210527
2025-11-08 12:17:45,640.201,0,9,25.36842105263158
2025-11-08 12:18:57,712.201,0,10,25.723684210526315
2025-11-08 12:19:54,769.201,0,11,26.921052631578945
2025-11-08 12:20:49,824.201,0,12,32.39473684210527
2025-11-08 12:21:44,879.201,0,13,28.000000000000004
2025-11-08 12:22:33,928.201,0,14,25.539473684210527
2025-11-08 12:23:42,997.201,0,15,25.184210526315788
2025-11-08 12:24:59,1074.201,0,16,25.30263157894737
2025-11-08 12:26:05,1140.201,0,17,26.25
2025-11-08 13:16:50,4185.201,0,18,27.14473684210526
2025-11-08 13:47:28,6023.201,0,19,25.157894736842106
2025-11-08 13:48:08,6063.201,0,20,25.986842105263158
2025-11-08 13:49:12,6127.201,0,21,29.355263157894733
2025-11-08 13:50:04,6179.201,0,22,25.63157894736842
2025-11-08 13:51:36,6271.201,0,23,27.592105263157897
2025-11-08 13:52:25,6320.201,0,24,27.407894736842103
2025-11-08 13:53:26,6381.201,0,25,27.671052631578945
2025-11-08 13:54:04,6419.201,0,26,28.51315789473684
2025-11-08 13:55:22,6497.201,0,27,29.013157894736842
2025-11-08 13:56:02,6537.201,0,28,27.460526315789473
2025-11-08 15:26:49,11984.201,0,29,27.73684210526316
2025-11-08 15:56:11,13746.201,0,30,28.078947368421055
2025-11-08 17:26:59,19194.201,0,31,29.342105263157897
2025-11-08 18:47:10,24005.201,0,32,26.434210526315788
2025-11-08 18:48:05,24060.201,0,33,26.38157894736842
2025-11-08 18:48:52,24107.201,0,34,35.35526315789474
2025-11-08 18:49:48,24163.201,0,35,36.01315789473684
2025-11-08 18:50:38,24213.201,0,36,33.881578947368425
2025-11-08 18:52:09,24304.201,0,37,33.881578947368425
2025-11-08 18:52:42,24337.201,0,38,32.53947368421052
2025-11-08 18:54:09,24424.201,0,39,34.31578947368421
2025-11-08 18:54:36,24451.201,0,40,33.44736842105263
2025-11-08 18:56:08,24543.201,0,41,33.8421052631579
2025-11-08 19:56:27,28162.201,0,42,36.078947368421055
2025-11-08 20:17:38,29433.201,0,43,28.249999999999996
2025-11-08 20:18:40,29495.201,0,44,36.34210526315789
2025-11-08 20:19:41,29556.201,0,45,35.868421052631575
2025-11-08 20:20:30,29605.201,0,46,38.75
2025-11-08 20:21:42,29677.201,0,47,38.0
2025-11-08 20:22:52,29747.201,0,48,38.276315789473685
2025-11-08 20:23:53,29808.201,0,49,36.30263157894737
2025-11-08 20:24:55,29870.201,0,50,39.61842105263158
2025-11-08 20:26:06,29941.201,0,51,34.36842105263158
2025-11-08 20:46:35,31170.201,0,52,32.78947368421052
2025-11-08 21:07:51,32446.201,0,53,38.776315789473685
2025-11-08 21:08:50,32505.201,0,54,38.94736842105263
2025-11-08 21:10:24,32599.201,0,55,34.28947368421053
2025-11-08 21:11:31,32666.201,0,56,32.85526315789474
2025-11-08 21:12:56,32751.201,0,57,48.25
2025-11-08 21:13:34,32789.201,0,58,38.71052631578947
2025-11-08 21:14:28,32843.201,0,59,41.578947368421055
2025-11-08 21:15:34,32909.201,0,60,47.01315789473684
2025-11-08 21:26:57,33592.201,0,61,28.960526315789476
2025-11-08 21:27:50,33645.201,0,62,25.38157894736842
2025-11-08 21:29:05,33720.201,0,63,25.05263157894737
2025-11-08 21:30:12,33787.201,0,64,25.013157894736842
2025-11-08 21:31:36,33871.201,0,65,25.013157894736842
2025-11-08 21:32:38,33933.201,0,66,33.473684210526315
2025-11-08 21:33:39,33994.201,0,67,35.76315789473684
2025-11-08 21:35:02,34077.201,0,68,25.710526315789473
