Timestamp,Tag,Source,Destination
1700958678.385845,upload,trainer5,aggregator
1700958678.427864,fetch,trainer5,aggregator
1700958691.318159,upload,trainer5,aggregator
1700958691.3699808,fetch,trainer5,aggregator
1700958698.0986109,upload,trainer5,aggregator
1700958698.139018,fetch,trainer5,aggregator
1700958731.3541052,upload,trainer5,aggregator
1700958731.3794875,fetch,trainer5,aggregator
1700958750.858613,upload,trainer5,aggregator
1700958750.8907745,fetch,trainer5,aggregator
1700958764.0811672,upload,trainer5,aggregator
1700958764.1312747,fetch,trainer5,aggregator
1700958449.205513,fetch,trainer6,aggregator
1700958452.4330993,upload,trainer6,aggregator
1700958452.4916382,fetch,trainer6,aggregator
1700958473.600053,upload,trainer6,aggregator
1700958473.650243,fetch,trainer6,aggregator
1700958499.745011,upload,trainer6,aggregator
1700958499.7959228,fetch,trainer6,aggregator
1700958513.1345835,upload,trainer6,aggregator
1700958513.1833653,fetch,trainer6,aggregator
1700958526.4070854,upload,trainer6,aggregator
1700958526.4586575,fetch,trainer6,aggregator
1700958539.5088687,upload,trainer6,aggregator
1700958539.562098,fetch,trainer6,aggregator
1700958559.3458567,upload,trainer6,aggregator
1700958559.3932552,fetch,trainer6,aggregator
1700958572.5870366,upload,trainer6,aggregator
1700958572.6396034,fetch,trainer6,aggregator
1700958585.6950371,upload,trainer6,aggregator
1700958585.747795,fetch,trainer6,aggregator
1700958605.8945405,upload,trainer6,aggregator
1700958605.9371972,fetch,trainer6,aggregator
1700958618.8854427,upload,trainer6,aggregator
1700958618.926435,fetch,trainer6,aggregator
1700958632.4245846,upload,trainer6,aggregator
1700958632.476332,fetch,trainer6,aggregator
1700958646.3089685,upload,trainer6,aggregator
1700958646.3477616,fetch,trainer6,aggregator
1700958664.95835,upload,trainer6,aggregator
1700958665.0078008,fetch,trainer6,aggregator
1700958678.5152025,upload,trainer6,aggregator
1700958678.5666752,fetch,trainer6,aggregator
1700958711.7342525,upload,trainer6,aggregator
1700958711.783204,fetch,trainer6,aggregator
1700958724.9718323,upload,trainer6,aggregator
1700958725.014585,fetch,trainer6,aggregator
1700958750.8010576,upload,trainer6,aggregator
1700958750.8352578,fetch,trainer6,aggregator
1700958771.024108,upload,trainer6,aggregator
1700958771.0662715,fetch,trainer6,aggregator
1700958777.6336584,upload,trainer6,aggregator
1700958777.6810045,fetch,trainer6,aggregator
1700958449.0747507,fetch,trainer7,aggregator
1700958453.047019,upload,trainer7,aggregator
1700958453.1475992,fetch,trainer7,aggregator
1700958485.8408976,upload,trainer7,aggregator
1700958485.8954332,fetch,trainer7,aggregator
1700958499.2593129,upload,trainer7,aggregator
1700958499.3108904,fetch,trainer7,aggregator
1700958505.9663315,upload,trainer7,aggregator
1700958506.0159407,fetch,trainer7,aggregator
1700958519.061653,upload,trainer7,aggregator
