timestamp,time_since_start,round_id,data_id,accuracy
2025-11-05 23:31:55,117.592,0,0,25.17105263157895
2025-11-05 23:33:42,224.592,0,1,25.36842105263158
2025-11-05 23:34:13,255.592,0,2,25.342105263157894
2025-11-05 23:35:08,310.592,0,3,26.236842105263158
2025-11-05 23:35:48,350.592,0,4,30.842105263157894
2025-11-05 23:36:29,391.592,0,5,27.52631578947368
2025-11-05 23:37:05,427.592,0,6,29.815789473684212
2025-11-05 23:37:49,471.592,0,7,25.407894736842106
2025-11-05 23:38:07,489.592,0,8,25.38157894736842
2025-11-05 23:38:50,532.592,0,9,25.013157894736842
2025-11-05 23:39:52,594.592,0,10,25.026315789473685
2025-11-05 23:40:36,638.592,0,11,25.06578947368421
2025-11-05 23:41:24,686.592,0,12,25.06578947368421
2025-11-05 23:41:56,718.592,0,13,25.092105263157894
2025-11-05 23:42:33,755.592,0,14,25.039473684210527
2025-11-05 23:43:21,803.592,0,15,25.05263157894737
2025-11-05 23:44:15,857.592,0,16,25.05263157894737
2025-11-05 23:45:10,912.592,0,17,25.11842105263158
2025-11-05 23:46:08,970.592,0,18,25.19736842105263
2025-11-05 23:46:59,1021.592,0,19,25.32894736842105
2025-11-05 23:47:59,1081.592,0,20,26.236842105263158
2025-11-05 23:48:41,1123.592,0,21,25.61842105263158
2025-11-05 23:49:14,1156.592,0,22,25.907894736842106
2025-11-05 23:49:51,1193.592,0,23,25.842105263157894
2025-11-05 23:50:43,1245.592,0,24,28.35526315789474
